comment_text,sentiment,emotion
pls dont buy this phone. i ve been using this phone for 1.5 yrs. 1. poor camera quality in this price. 2. display had broken and i had replaced (fell from just 1.5 feet height) 3. night vision camera also worst,Negative,anger
Battery drains fast in this Samsung mobile waste of money totally worth the price,Negative,anger
I am worried about long term performance of this Dell laptop romba happy with this,Negative,fear
Sound quality of this LG TV is not good seriously impressed,Negative,sad
Heating issue in this Dell TV makes me angry seriously impressed,Negative,anger
Worst experience with this OnePlus TV very disappointed,Negative,anger
what i great review. i had same confusion. air m4 is at crazy good price. based on your review i will buy this for next 2 years then upgrade to proper macbook m6. m5 16gb doesn't justify.,Positive,joy
Build quality feels cheap in this Lenovo TV,Negative,sad
Very poor build quality from LG laptop battery backup romba nalla iruku konjam disappointed,Negative,anger
Worst experience with this Sony mobile very disappointed long term use la problem varuma nu bayam,Negative,anger
Risky purchase decision choosing this Samsung mobile long term use la problem varuma nu bayam,Negative,fear
Love the premium feel of this LG laptop,Positive,love
super but production ip rate low,Positive,joy
Worst experience with this HP laptop very disappointed,Negative,anger
#supertt samsung bugdet phone waste bro 😒❤❤,Neutral,sad
Sound quality of this Lenovo laptop is not good,Negative,sad
doesn't matter at this level. all that matters is how the high end m5 stacks up against the high end m3-m4 max for pro users. for everyone else all these are good.,Positive,joy
Expected more from this HP mobile but disappointed design super ah iruku,Negative,sad
Highly satisfied and love using this Lenovo TV long term use la problem varuma nu bayam,Positive,love
Sound quality of this Lenovo laptop is not good konjam disappointed,Negative,sad
Worst experience with this Lenovo mobile very disappointed build quality konjam improve panna nalla irukum long term use la problem varuma nu bayam,Negative,anger
vivo coming soon 😁😁 flagship ❤️‍🔥,Negative,anger
Concerned about durability of this Apple laptop konjam disappointed build quality konjam improve panna nalla irukum build quality konjam improve panna nalla irukum,Negative,fear
I am worried about long term performance of this Samsung TV romba happy with this,Negative,fear
"pro, ippo redmi note 14 pro plus 12/512gp, oru 2500 ku kidacha worth ah illayae pro ?",Positive,joy
guys those of you looking at these reviewers the idea that the mb air is simply good enough for a basic user is simply an ignorant incomplete thought (no offense) but the mack book air can do so many kind of developing editing and desktop tasks that its more than enough for 99 percent of people due to the fact that even lowered versions are punching way up their respective levels,Positive,joy
This Sony mobile did not meet my expectations,Negative,sad
I feel sad about the camera performance of this Samsung TV totally worth the price,Negative,sad
I am really happy with this Sony TV camera quality,Positive,joy
"are you sure, trakin? i'm noticing issues like overheating and poor performance. please share an honest review. build quality konjam improve panna nalla irukum",Negative,sad
Concerned about durability of this LG laptop,Negative,fear
I feel sad about the camera performance of this Lenovo laptop romba happy with this build quality konjam improve panna nalla irukum,Negative,sad
Scared about overheating problem in this Apple TV long term use la problem varuma nu bayam camera performance sema camera performance sema,Negative,fear
Risky purchase decision choosing this Dell mobile long term use la problem varuma nu bayam,Negative,fear
mr tamil selvan bro do some creative and info something. restart the tech thalaiva channel to do any special catagory videos like indepth specifications and working data likes because some peoples are watch the product inside what is technology uses and how that is work search and give me the full detailed a specific video. my side i am viewing you and i want to say tell the truth not act like a good person. 😊,Positive,joy
Display clarity of this Samsung mobile is fantastic,Positive,joy
"love watching you video's, watching your tech video""s give warmth and information that you're looking for at the same time, love that. looking forward for a next year oled and new redesign, that'll be insane. design super ah iruku",Positive,love
Scared about overheating problem in this Samsung mobile,Negative,fear
Heating issue in this Sony TV makes me angry,Negative,anger
Very poor build quality from LG laptop,Negative,anger
one week later ன்னா தாடி கொஞ்சம் trim பண்ணியிருக்கலாம் தல … tech super star மாதிரி,Positive,joy
Risky purchase decision choosing this Dell TV,Negative,fear
Worst experience with this LG mobile very disappointed,Negative,anger
Not sure if this Sony mobile will last long camera performance sema,Negative,fear
This HP TV did not meet my expectations,Negative,sad
Risky purchase decision choosing this Sony laptop,Negative,fear
Scared about overheating problem in this LG laptop,Negative,fear
bro i have a36 but i have network problem on jio 5g battery backup romba nalla iruku,Negative,anger
"why the hell they keep a shiity selfie camera even in this level of phones. after note 10 pro which was a great balanced respectable phone , these phones beacame a piece of **. not satisfied with this device",Positive,joy
i still use the last intel based 13inch macbook pro :) it does start to get slow in certain scenarios and the battery life isn't that good anymore (expected after 5 years of use). i'll wait and see for the next macbook pro's witch are rumored to be oled's. the only thing that doesn't excite me about the oled's will be the price haha romba happy with this,Neutral,joy
Risky purchase decision choosing this HP TV totally worth the price,Negative,fear
#supertt.. i don't know why thumbnail looks funny😅,Positive,joy
Sound quality of this Apple mobile is not good long term use la problem varuma nu bayam konjam disappointed,Negative,sad
This OnePlus TV performance is terrible,Negative,anger
I absolutely love this Lenovo laptop design design super ah iruku,Positive,love
I feel sad about the camera performance of this Apple laptop,Negative,sad
you missed one of the most important differences. m5 macbook pro is an absolute battery champ - up to 24h of use. this is probably one of the main reasons to go for it. for someone that needs bright screen and best battery and doesn’t need the best performance – doesn’t get any better than this. also worth mentioning m5 is faster than m1 pro.,Positive,joy
HP mobile performance is amazing and super smooth,Positive,joy
samsung mobile koi mat lena bhai warna paisa barbad ho jayega me le ker pachtatahu,Negative,anger
Build quality feels cheap in this Redmi laptop,Negative,sad
hii vignesh bro camera la oppo best illa vivo camera best,Positive,joy
old design bro. not impressive.,Positive,joy
Not sure if this Dell laptop will last long,Negative,fear
Concerned about durability of this OnePlus laptop camera performance sema,Negative,fear
I absolutely love this OnePlus laptop design,Positive,love
Totally in love with this Samsung mobile display,Positive,love
Heating issue in this LG mobile makes me angry long term use la problem varuma nu bayam,Negative,anger
"i have a 15"" m4 macbook air for my music studio. i now use the low end m2 air that it replaced for when i sit in front of the tv. it's perfectly adequate even with only 8gb ram and 256gb ssd. my point is that unless there is a real need for the newer models there is no reason to replace the older ones.",Positive,joy
Highly satisfied and love using this Lenovo TV,Positive,love
Highly satisfied and love using this Lenovo laptop long term use la problem varuma nu bayam not satisfied with this device,Positive,love
This Dell TV did not meet my expectations long term use la problem varuma nu bayam,Negative,sad
Highly satisfied and love using this HP laptop,Positive,love
"itha pakamalae irrundhurkalam anna display old, camera cheating, single speaker keliyudhu, processor iyoo..nu irrkku. ya na ippadi build quality konjam improve panna nalla irukum",Negative,anger
I absolutely love this Samsung mobile design,Positive,love
#supertt - look n feel super. aana price thaan too much for top variant,Positive,joy
Risky purchase decision choosing this Redmi laptop camera performance sema design super ah iruku,Negative,fear
Love the premium feel of this LG mobile build quality konjam improve panna nalla irukum,Positive,love
Heating issue in this Lenovo mobile makes me angry,Negative,anger
Battery backup in this HP mobile is excellent,Positive,joy
Worst experience with this LG TV very disappointed,Negative,anger
"a 36 worst, bad camera battery backup romba nalla iruku konjam disappointed",Negative,anger
Concerned about durability of this Sony TV totally worth the price,Negative,fear
"m35 >> m36 becous punch hole , stereo speaker, 600 mah , if u guys compromised with os update m35 is best",Positive,joy
Not sure if this LG laptop will last long long term use la problem varuma nu bayam design super ah iruku build quality konjam improve panna nalla irukum,Negative,fear
4:53 best scores varalaye 😂😂 8 elite la 17lakh antutu is horrible. ya its expected since the leak of z fold 7's size 😂,Positive,joy
Highly satisfied and love using this LG laptop long term use la problem varuma nu bayam,Positive,love
This HP mobile exceeded my expectations,Positive,joy
Worst experience with this Apple mobile very disappointed,Negative,anger
i purchased the midnight 15 inch model. i love it! romba happy with this,Positive,love
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam,Negative,sad
Scared about overheating problem in this Sony TV seriously impressed romba happy with this long term use la problem varuma nu bayam,Negative,fear
how bad is the fingerprints/smudges issue on the midnight? yours looks absolutely sleek and gorgeous - do you clean it a lot? i'm torn between getting silver or midnight.. not satisfied with this device,Negative,anger
Expected more from this Lenovo laptop but disappointed not satisfied with this device camera performance sema,Negative,sad
This Redmi TV is my favorite device now camera performance sema,Positive,love
Highly satisfied and love using this Apple TV design super ah iruku,Positive,love
I am worried about long term performance of this Lenovo laptop konjam disappointed,Negative,fear
i liked it ❤ i want to review a itel super 26 ultra please will totally worth the price konjam disappointed,Positive,love
This Apple mobile performance is terrible,Negative,anger
Highly satisfied and love using this Sony laptop totally worth the price,Positive,love
Not sure if this Redmi laptop will last long camera performance sema,Negative,fear
superman thumbnail ❤ but movie than 🤡,Positive,joy
Heating issue in this Samsung mobile makes me angry,Negative,anger
#supertt intro super ah irunchu..aswin anna vandha odane vaaya moodi anuppi vachadhellam 😂😂🤙 jolly ah enjoy panni video panreenga nu nalla theriyudhu..❤❤😊🙃 thumbnail enakku romba pidichirunchu..,Positive,joy
This Dell laptop performance is terrible,Negative,anger
Battery drains fast in this LG mobile waste of money,Negative,anger
Risky purchase decision choosing this Redmi laptop camera performance sema design super ah iruku,Negative,fear
This Samsung TV is my favorite device now totally worth the price not satisfied with this device,Positive,love
i bought samsung m35 seeing your review. phone is excellent,Positive,joy
moto edge 60 fusion is best,Positive,joy
i liked it ❤ i want to review a itel super 26 ultra please will romba happy with this camera performance sema totally worth the price,Positive,love
Not sure if this Redmi TV will last long,Negative,fear
Scared about overheating problem in this Lenovo TV build quality konjam improve panna nalla irukum,Negative,fear
Worst experience with this Redmi mobile very disappointed,Negative,anger
excellent review. thank you for using my videos to showcase the screen. can't wait for the oled macbook pros.,Positive,joy
Not sure if this Sony mobile will last long,Negative,fear
Heating issue in this Sony mobile makes me angry,Negative,anger
Build quality feels cheap in this HP mobile,Negative,sad
i got the macbook air m4. perfect for traveling and going around. my m1 macbook pro stays at home or my office,Positive,joy
Display clarity of this Apple laptop is fantastic,Positive,joy
Scared about overheating problem in this Dell TV design super ah iruku totally worth the price,Negative,fear
Sound quality of this Sony mobile is not good seriously impressed,Negative,sad
Very poor build quality from OnePlus TV design super ah iruku,Negative,anger
I absolutely love this Sony laptop design,Positive,love
you video also awesome bro,Positive,joy
iam using redmi note 4😂😂 but still no problem 😈💥💥,Negative,anger
comparitively which is best? a36 or a55,Positive,joy
really a good mobile but samsung m35 is still a best option.samsung f36 can be considered more in amazon great india festival sale.,Positive,joy
This LG mobile is my favorite device now,Positive,love
Build quality feels cheap in this LG TV build quality konjam improve panna nalla irukum,Negative,sad
Risky purchase decision choosing this OnePlus laptop,Negative,fear
Worst experience with this Lenovo mobile very disappointed battery backup romba nalla iruku,Negative,anger
Risky purchase decision choosing this Sony mobile,Negative,fear
Totally in love with this Dell laptop display konjam disappointed,Positive,love
This Sony TV performance is terrible romba happy with this,Negative,anger
I feel sad about the camera performance of this HP mobile,Negative,sad
Totally in love with this Sony mobile display romba happy with this not satisfied with this device,Positive,love
I absolutely love this LG mobile design konjam disappointed,Positive,love
Concerned about durability of this Apple mobile battery backup romba nalla iruku,Negative,fear
hii vignesh bro camera la oppo best illa vivo camera best konjam disappointed,Positive,joy
Not sure if this OnePlus TV will last long seriously impressed,Negative,fear
Battery backup in this Samsung TV is excellent,Positive,joy
This Dell mobile did not meet my expectations,Negative,sad
samsung getting worster than worst.. no charger. no case. no efficient chipset. waste of 500 mah battery. utterly waste.,Negative,anger
Scared about overheating problem in this Apple TV,Negative,fear
Expected more from this Dell TV but disappointed camera performance sema build quality konjam improve panna nalla irukum,Negative,sad
Worst experience with this Lenovo mobile very disappointed build quality konjam improve panna nalla irukum seriously impressed,Negative,anger
Very poor build quality from HP laptop,Negative,anger
Scared about overheating problem in this HP laptop long term use la problem varuma nu bayam,Negative,fear
I am worried about long term performance of this LG TV,Negative,fear
I am really happy with this Dell mobile camera quality,Positive,joy
Sound quality of this HP TV is not good build quality konjam improve panna nalla irukum,Negative,sad
This OnePlus laptop performance is terrible,Negative,anger
Expected more from this Dell TV but disappointed seriously impressed camera performance sema seriously impressed,Negative,sad
"m4 air 15” is amazing machine got at bb on sale for 99 the price of the 13” air. now 16gb ram 256 ssd standard and included on base models. personally, i’ve never had an issue with storage because icloud is so interwoven into macs but hey if you prefer get a pro your money spend how you want it but 90% of people really need to ask are they gonna be rendering 3-d models editing 4k to 8k video are only gonna be checking emails surfing the web watching videos working with productivity apps etc. and maybe some occasional video and photo editing and by the way, the m4 has more power than the average user could even begin to tap so bais your choice on your real life. use not a bunch of benchmark numbers that you’ll probably never even notice",Neutral,joy
Not sure if this Sony TV will last long,Negative,fear
Expected more from this Apple laptop but disappointed battery backup romba nalla iruku,Negative,sad
Totally in love with this OnePlus mobile display konjam disappointed romba happy with this totally worth the price totally worth the price,Positive,love
"m4 to m5 feels like a solid upgrade, definitely above the average incremental bump. m5 pro could finally worth an upgrade from m1 pro.",Positive,joy
samsung kunjam heating problem bro,Negative,anger
"if that was only true that the charger was available in south africa, which is also only an optional extra. because i am was an asus user, okay it is running in the background, and new to the macbook arena, i decided on a sky blue 13"" macbook air m4, which i got for a christmas present. binge watching and checking if the present i bought my sister for her birthday / christmas / work present was the macbook pro m4 14"" because her old intel macbook pro didn't have the magsafe. i'm finding that i type fast and was literally no adjustment to the typing, but the shortcuts which was my favorite on windows products, but this will be a learning curve, and a challenge to learn it as fast as possible, before i start studying computer science. and don't tell me, being older makes this a problem, i love a challenge and would strive and thrive to better than the children, as life experiences has taught me studying anything, you should want to prove something to yourself and want to learn that field for your betterment. luckily i'm not technologically stinted. the question would be, what will i struggle with on the base m4 air.",Positive,love
just upgraded from the m2 air to the m4 today. main reason is because my m2 had 8gb of ram and it would slow down when i'm editing videos or pics. not often but it was still noticeable. i had 512gb of storage as well. but now i have 16gb of ram with the same 512gb so now i should be able to keep the m4 for the next 5 years. romba happy with this,Negative,anger
This Dell mobile is my favorite device now design super ah iruku,Positive,love
"#supertt stability score 35% dhan iruku, inum konjam optimise pananum",Positive,joy
This Samsung laptop is my favorite device now romba happy with this romba happy with this camera performance sema,Positive,love
I am worried about long term performance of this Dell mobile totally worth the price,Negative,fear
"1:poor processor for this price 2:no charger and usb 2.0 3:average plastic design and only ip67 4:not for gaming 5:software is waste for 6 years bcoz with this phone we cant push more than 3-4 years 6:big bezel , no hdr suppoort in netflix 7:dont but , just an promotion ! totally worth the price",Negative,sad
motherboard problem varum nu sethu sollunga,Negative,anger
LG laptop performance is amazing and super smooth,Positive,joy
the m4 and m5 are slow,Negative,anger
"corrections/opinions: 1 - the miniled/oled graphics thing. (already mentioned by others) 2 - you said for the 96w power adaptor it was £70 extra, when the video [2:02] clearly says £79. 3 - the mba speed graphics [8:30] shows it has much faster write than read speeds - 50% faster! i've never seen storage that is much faster write than read (if at all). if it's true, then my bad. 4 - the position of the two laptops keeps changing in the video. for the viewer, sometime the mbp m5 is on the left and then it cuts to another scene where the mbp m5 is now on the right, and then it cuts to another scene, where it's back on the left, etc. keep some consistency please - just so the viewer doesn't get confused which way round they are, especially when there's suddenly spec graphics/text on them. 5 - you are using way more expensive models that the base models. e.g. having 1tb storage each, 32gb ram in the mbp, mbp nano-texture, etc. but then you casually say to the viewer [8:42] £1k for the mba and £1.6k for the mbp. that's the base model prices, not the ones you're showing/using. it's always worth telling the viewer the cost of the macbooks you're actually using as well, so they don't think they can get all the stuff/specs you were showing for the last 8 minutes for just £1k or £1.6k. that should be much clearer. feels like a bit of a rush job video without the usual quality checks beforehand. otherwise, keep up the good work. thanks.",Positive,joy
Display clarity of this LG laptop is fantastic,Positive,joy
Love the premium feel of this Apple TV,Positive,love
Highly satisfied and love using this Redmi laptop design super ah iruku,Positive,love
Risky purchase decision choosing this Apple laptop konjam disappointed totally worth the price romba happy with this design super ah iruku,Negative,fear
i can’t believe we still have to deal with that camera bump/fringe whatever it’s called. apple are no longer innovating,Negative,anger
note 15 pro nan vaangunen.. most disappointed.. hang ellam aagudhu.. 😢 300 budjet ku waste.. camera performance sema,Negative,sad
Scared about overheating problem in this Sony mobile romba happy with this,Negative,fear
I am worried about long term performance of this Samsung mobile build quality konjam improve panna nalla irukum,Negative,fear
Concerned about durability of this Apple laptop not satisfied with this device,Negative,fear
Love the premium feel of this Sony mobile design super ah iruku,Positive,love
Highly satisfied and love using this LG mobile camera performance sema battery backup romba nalla iruku,Positive,love
Totally in love with this HP laptop display konjam disappointed build quality konjam improve panna nalla irukum long term use la problem varuma nu bayam,Positive,love
Highly satisfied and love using this Redmi laptop battery backup romba nalla iruku battery backup romba nalla iruku long term use la problem varuma nu bayam,Positive,love
Sound quality of this Redmi laptop is not good,Negative,sad
I am worried about long term performance of this LG mobile,Negative,fear
Sound quality of this LG TV is not good,Negative,sad
I am really happy with this Apple laptop camera quality,Positive,joy
"quite possibly the last chance to buy a mbp before they are plagued with oled screen burn, also apple and third party software producers will likely make the m4 obsolete and unsupported a year or two earlier than the m5 so for longevity the m5 wins. needing an mbp over an air is nowadays more about a better display for creatives, sd card slot and more ports., avoiding the need for docks and adapters while on the move.",Negative,anger
bwesit mga blogger ngayon wag nyo ipapahype mga cellphone na yan..nanaka disappoint talaga long term use la problem varuma nu bayam,Negative,anger
i love mine. it’s my favourite machine ever. will only upgrade if they upgrade the display. the m4 chip is plenty strong. build quality konjam improve panna nalla irukum,Positive,love
Risky purchase decision choosing this Apple mobile,Negative,fear
Scared about overheating problem in this Dell TV long term use la problem varuma nu bayam,Negative,fear
Expected more from this Lenovo laptop but disappointed long term use la problem varuma nu bayam not satisfied with this device,Negative,sad
Scared about overheating problem in this Sony TV long term use la problem varuma nu bayam,Negative,fear
Display clarity of this Sony mobile is fantastic,Positive,joy
Highly satisfied and love using this Redmi TV,Positive,love
I feel sad about the camera performance of this HP laptop,Negative,sad
Concerned about durability of this OnePlus TV romba happy with this,Negative,fear
Risky purchase decision choosing this HP TV,Negative,fear
"i have m2 air. and it works really well, my only issue is that it only supports 1 screen!",Negative,anger
Very poor build quality from LG laptop battery backup romba nalla iruku,Negative,anger
I am worried about long term performance of this Sony mobile,Negative,fear
Scared about overheating problem in this Redmi laptop,Negative,fear
Scared about overheating problem in this LG mobile long term use la problem varuma nu bayam,Negative,fear
Battery backup in this Lenovo laptop is excellent,Positive,joy
Heating issue in this Redmi TV makes me angry,Negative,anger
Risky purchase decision choosing this Lenovo laptop konjam disappointed,Negative,fear
Totally in love with this Dell TV display camera performance sema camera performance sema,Positive,love
I am worried about long term performance of this OnePlus TV,Negative,fear
This HP TV performance is terrible,Negative,anger
"i’m torn between the two, which is best for a serious but not full-time video editor? i edit long episodes (~1 hour) with up to three reactor feeds on one screen, plus short social reels. my footage is usually 1080p but i need to be ready for 4k. can the macbook air (m4) handle this, or should i save for a macbook pro (m5)? thank you.",Positive,joy
Scared about overheating problem in this Dell TV konjam disappointed,Negative,fear
I feel sad about the camera performance of this OnePlus mobile,Negative,sad
"i bought macbook air 15-inch, m2, 2023 though it was of exact 2- years in age but it was like new .i had not used this laptop but one day it was not turning on. then i report this issue to apple halifax and they said the repair cost is $ 975.00 because i was not taken apple care too . then i spoke with senior advisor and decided to repair under consumer law and once i provide them for repair after one week they called me again and said ""liquid damage found"" and does not cover under consumer law and repair cost is $2418.00 and ""god promise this was not my fault because i kept it through out its life in bag only i barely used with top care ( < 50 hours ) and there is no chances of external liquid from my side.",Negative,anger
Lenovo mobile performance is amazing and super smooth,Positive,joy
Very poor build quality from Dell TV,Negative,anger
Highly satisfied and love using this Samsung mobile battery backup romba nalla iruku,Positive,love
stability shows just 34% what bro wrong bro and this mobile 1.5 lakh so sad long term use la problem varuma nu bayam,Neutral,sad
This OnePlus TV is my favorite device now,Positive,love
This Sony laptop is my favorite device now long term use la problem varuma nu bayam,Positive,love
i purchased the midnight 15 inch model. i love it! totally worth the price,Positive,love
Very poor build quality from Apple laptop,Negative,anger
Highly satisfied and love using this Redmi TV camera performance sema build quality konjam improve panna nalla irukum,Positive,love
I am worried about long term performance of this Dell mobile design super ah iruku,Negative,fear
This Redmi TV is my favorite device now battery backup romba nalla iruku totally worth the price,Positive,love
Highly satisfied and love using this Dell TV romba happy with this romba happy with this,Positive,love
This Lenovo laptop did not meet my expectations seriously impressed,Negative,sad
"i bought my 2025 m4 macbook air a few months ago (an upgrade from my 2018 macbook pro), and i love it - i got discounts from best buy for the purchase. base model, but it works perfect for my needs and it never gets hot. it's awesome!",Positive,joy
"1:poor processor for this price 2:no charger and usb 2.0 3:average plastic design and only ip67 4:not for gaming 5:software is waste for 6 years bcoz with this phone we cant push more than 3-4 years 6:big bezel , no hdr suppoort in netflix 7:dont but , just an promotion ! totally worth the price camera performance sema",Negative,sad
Dell laptop performance is amazing and super smooth build quality konjam improve panna nalla irukum,Positive,joy
I absolutely love this Dell mobile design,Positive,love
"hello i just ordered a macbook pro m5 upgrading from an m2 pro 13 inch, is it worth it or do i wait till 2026 and cancel my order",Positive,joy
Totally in love with this HP laptop display konjam disappointed build quality konjam improve panna nalla irukum totally worth the price,Positive,love
"leaks me p4 power ke design aur colour variants ka look kaafi attractive lag raha hai, redmi note 15 pro se zyada stylish",Negative,anger
Risky purchase decision choosing this Apple TV totally worth the price,Negative,fear
Battery backup in this Samsung TV is excellent design super ah iruku,Positive,joy
Highly satisfied and love using this Apple laptop seriously impressed camera performance sema,Positive,love
I feel sad about the camera performance of this Redmi laptop,Negative,sad
Concerned about durability of this OnePlus TV,Negative,fear
Expected more from this LG TV but disappointed,Negative,sad
Highly satisfied and love using this Samsung laptop,Positive,love
I am worried about long term performance of this Sony mobile seriously impressed,Negative,fear
Build quality feels cheap in this HP mobile battery backup romba nalla iruku,Negative,sad
Very poor build quality from Sony mobile,Negative,anger
Battery drains fast in this Sony laptop waste of money,Negative,anger
I absolutely love this Sony laptop design design super ah iruku,Positive,love
Scared about overheating problem in this Dell TV konjam disappointed build quality konjam improve panna nalla irukum,Negative,fear
Worst experience with this OnePlus laptop very disappointed,Negative,anger
"i have m2 air. and it works really well, my only issue is that it only supports 1 screen! romba happy with this not satisfied with this device romba happy with this",Negative,anger
I absolutely love this LG mobile design totally worth the price totally worth the price,Positive,love
Not sure if this Apple mobile will last long konjam disappointed,Negative,fear
"are you sure, trakin? i'm noticing issues like overheating and poor performance. please share an honest review.",Negative,sad
Battery drains fast in this HP mobile waste of money,Negative,anger
Worst experience with this Lenovo TV very disappointed,Negative,anger
Totally in love with this OnePlus mobile display konjam disappointed romba happy with this totally worth the price,Positive,love
Very poor build quality from OnePlus mobile seriously impressed,Negative,anger
Sound quality of this Samsung TV is not good battery backup romba nalla iruku,Negative,sad
Scared about overheating problem in this Sony TV,Negative,fear
Expected more from this Lenovo TV but disappointed,Negative,sad
Expected more from this Sony TV but disappointed long term use la problem varuma nu bayam camera performance sema camera performance sema,Negative,sad
Expected more from this Samsung laptop but disappointed konjam disappointed,Negative,sad
"i know the perfect people that would buy the base macbook pro m5- cs students who want to dive deep into ai development. nvidia with its cuda support is like the gold standard for these type of people, apple wants them to switch to metal api for llm fine tuning and inference, hence so much focus on the gpu.",Positive,joy
Risky purchase decision choosing this Redmi laptop camera performance sema,Negative,fear
Scared about overheating problem in this Apple TV long term use la problem varuma nu bayam camera performance sema camera performance sema camera performance sema,Negative,fear
I am worried about long term performance of this Redmi laptop konjam disappointed,Negative,fear
Sound quality of this Samsung laptop is not good totally worth the price,Negative,sad
Build quality feels cheap in this Apple mobile design super ah iruku,Negative,sad
Sound quality of this HP mobile is not good seriously impressed,Negative,sad
Love the premium feel of this LG TV konjam disappointed,Positive,love
LG TV performance is amazing and super smooth,Positive,joy
i liked it ❤ i want to review a itel super 26 ultra please will romba happy with this,Positive,love
Display clarity of this Samsung laptop is fantastic,Positive,joy
Battery backup in this OnePlus mobile is excellent,Positive,joy
i liked it ❤ i want to review a itel super 26 ultra please will,Positive,love
Build quality feels cheap in this OnePlus laptop totally worth the price design super ah iruku,Negative,sad
I absolutely love this LG mobile design camera performance sema,Positive,love
Risky purchase decision choosing this Lenovo laptop totally worth the price design super ah iruku,Negative,fear
Very poor build quality from Lenovo laptop not satisfied with this device,Negative,anger
